season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2026,Anthony Black,blackan01,22.0,ORL,PG,34,14.0,1012.0,13.8,0.556,0.351,0.324,3.0,12.4,7.7,17.5,2.1,1.8,14.0,22.7,0.1,1.3,1.4,0.068,-1.2,0.8,-0.4,0.4
2026,Devin Booker,bookede01,29.0,PHO,SG,30,30.0,1027.0,19.5,0.58,0.301,0.448,2.8,11.2,6.9,29.5,1.4,1.1,13.4,30.9,2.0,0.9,2.8,0.132,2.4,-0.8,1.6,0.9
2026,Mikal Bridges,bridgmi01,29.0,NYK,SF,33,33.0,1164.0,17.5,0.628,0.444,0.098,3.4,10.9,7.0,17.1,2.3,2.6,7.6,16.6,2.8,1.3,4.1,0.167,2.9,1.4,4.3,1.9
2026,Miles Bridges,bridgmi02,27.0,CHO,PF,32,32.0,1074.0,16.2,0.549,0.44,0.268,3.3,17.5,10.5,17.7,0.8,1.6,7.4,24.4,1.5,0.6,2.1,0.094,1.3,-1.2,0.1,0.6
2026,Dillon Brooks,brookdi01,30.0,PHO,SF,27,27.0,837.0,14.9,0.565,0.412,0.23,2.5,8.9,5.6,8.7,2.1,0.2,9.7,28.3,0.5,0.7,1.2,0.07,-0.8,-1.0,-1.8,0.1
2026,Bruce Brown,brownbr01,29.0,DEN,SG,33,1.0,815.0,10.3,0.553,0.25,0.216,5.6,13.6,9.8,10.6,1.8,0.9,13.9,13.7,0.5,0.7,1.2,0.068,-2.4,-0.4,-2.9,-0.2
2026,Jaylen Brown,brownja02,29.0,BOS,SF,30,30.0,1014.0,23.9,0.596,0.257,0.347,4.0,16.6,10.3,25.8,1.7,1.4,12.8,36.1,2.1,1.1,3.2,0.151,4.7,-0.4,4.3,1.6
2026,Jalen Brunson,brunsja01,29.0,NYK,PG,30,30.0,1064.0,22.5,0.596,0.371,0.296,2.0,8.3,5.1,30.3,1.1,0.2,8.0,31.6,3.6,0.6,4.2,0.188,5.5,-1.8,3.7,1.5
2026,Jimmy Butler,butleji01,36.0,GSW,SF,30,30.0,947.0,22.8,0.648,0.173,0.66,7.5,11.8,9.6,24.4,2.1,0.7,9.5,22.4,3.6,1.1,4.8,0.242,4.5,0.6,5.1,1.7
2026,Matas Buzelis,buzelma01,21.0,CHI,PF,33,33.0,900.0,14.2,0.597,0.451,0.26,4.3,15.6,10.1,7.7,1.4,4.3,12.8,20.6,0.3,0.9,1.2,0.064,-1.8,-0.3,-2.1,0.0
2026,Kentavious Caldwell-Pope,caldwke01,32.0,MEM,SG,32,13.0,696.0,11.1,0.541,0.502,0.228,2.0,9.2,5.6,20.4,1.8,0.9,14.8,16.8,0.2,0.7,0.9,0.064,-1.9,0.4,-1.5,0.1
2026,Toumani Camara,camarto01,25.0,POR,PF,34,34.0,1134.0,9.5,0.539,0.66,0.16,5.9,10.9,8.4,11.8,1.5,1.1,15.3,16.5,0.2,0.8,0.9,0.039,-1.9,-0.8,-2.7,-0.2
2026,Bub Carrington,carrica01,20.0,WAS,PG,32,11.0,866.0,9.0,0.552,0.555,0.172,1.7,13.1,7.4,21.6,0.8,0.5,20.0,16.6,-0.1,0.0,-0.2,-0.009,-2.5,-2.2,-4.7,-0.6
2026,Wendell Carter Jr.,cartewe01,26.0,ORL,C,33,33.0,1000.0,14.8,0.639,0.38,0.391,9.3,18.0,13.6,9.2,1.1,2.0,11.9,15.1,1.9,1.2,3.1,0.147,-0.2,0.6,0.4,0.6
2026,Stephon Castle,castlst01,21.0,SAS,PG,24,24.0,734.0,17.0,0.586,0.326,0.498,4.2,13.2,8.8,33.3,2.0,0.9,19.9,26.2,0.7,0.9,1.6,0.104,0.4,0.3,0.7,0.5
2026,Justin Champagnie,champju01,24.0,WAS,SF,30,8.0,501.0,16.0,0.548,0.381,0.324,12.6,21.2,16.9,7.6,2.2,2.6,6.5,14.2,0.8,0.4,1.2,0.112,-0.2,-0.7,-0.8,0.1
2026,Julian Champagnie,champju02,24.0,SAS,SF,33,19.0,909.0,12.3,0.597,0.768,0.21,3.4,18.5,11.1,6.3,1.6,1.5,10.4,15.0,0.8,1.2,2.0,0.107,-0.1,0.4,0.3,0.5
2026,Max Christie,chrisma02,22.0,DAL,SG,32,23.0,909.0,12.1,0.651,0.617,0.22,1.0,11.4,6.3,10.2,0.8,1.2,11.1,15.1,1.1,0.8,1.8,0.097,-0.1,0.0,0.0,0.4
2026,Sidy Cissoko,cissosi01,21.0,POR,SF,29,12.0,592.0,6.1,0.517,0.623,0.288,4.4,7.4,5.9,10.0,1.3,1.0,17.5,13.5,-0.1,0.3,0.2,0.013,-4.6,-0.8,-5.4,-0.5
2026,Jordan Clarkson,clarkjo01,33.0,NYK,SG,33,0.0,676.0,11.1,0.553,0.481,0.173,4.4,6.0,5.2,10.3,1.1,0.7,11.1,21.6,0.4,0.3,0.7,0.05,-1.8,-2.1,-3.9,-0.3
2026,Nic Claxton,claxtni01,26.0,BRK,C,30,30.0,910.0,19.6,0.619,0.04,0.458,9.9,20.3,14.9,23.0,1.3,4.0,12.2,17.8,2.2,1.1,3.2,0.171,1.5,1.6,3.1,1.2
2026,Nique Clifford,cliffni01,23.0,SAC,SG,29,3.0,544.0,7.7,0.507,0.444,0.19,4.2,13.9,8.9,10.2,1.5,1.3,15.8,15.3,-0.4,0.2,-0.2,-0.013,-4.7,-0.9,-5.6,-0.5
2026,Donovan Clingan,clingdo01,21.0,POR,C,30,30.0,789.0,19.4,0.61,0.335,0.309,17.6,25.5,21.4,9.5,1.0,4.7,9.3,14.8,1.9,1.0,2.9,0.177,2.0,-0.2,1.7,0.7
2026,Noah Clowney,clownno01,21.0,BRK,PF,30,24.0,848.0,11.4,0.574,0.671,0.386,3.4,13.4,8.2,10.3,1.2,2.6,13.7,20.3,0.2,0.7,0.9,0.052,-1.7,-0.6,-2.3,-0.1
2026,Isaiah Collier,colliis01,21.0,UTA,PG,24,1.0,536.0,12.2,0.583,0.213,0.522,1.2,9.5,5.3,39.2,1.3,1.4,25.4,17.2,0.4,0.0,0.4,0.04,-1.8,-2.1,-3.8,-0.3
2026,John Collins,collijo01,28.0,LAC,PF,31,22.0,830.0,14.1,0.605,0.322,0.235,5.9,14.5,10.3,5.5,1.6,2.6,12.4,19.4,0.6,0.7,1.2,0.071,-1.2,-0.7,-1.9,0.0
2026,Mike Conley,conlemi01,38.0,MIN,PG,29,6.0,554.0,10.1,0.539,0.725,0.275,2.0,8.2,5.2,20.0,1.6,1.1,11.2,11.6,0.7,0.6,1.3,0.109,-2.1,1.0,-1.1,0.1
2026,Cedric Coward,cowarce01,22.0,MEM,SG,32,19.0,871.0,15.3,0.588,0.423,0.278,6.4,18.8,12.7,16.0,0.9,1.1,11.9,20.4,1.0,1.0,2.0,0.11,0.4,0.0,0.4,0.5
2026,Cade Cunningham,cunnica01,24.0,DET,PG,30,30.0,1071.0,22.2,0.573,0.307,0.343,3.5,15.6,9.6,42.4,2.0,2.0,14.5,30.9,2.4,1.6,4.0,0.178,4.8,1.1,6.0,2.1
2026,Stephen Curry,curryst01,37.0,GSW,PG,25,25.0,799.0,22.8,0.639,0.606,0.287,1.8,11.8,6.8,24.7,1.8,1.3,12.2,33.7,1.6,0.9,2.6,0.156,6.5,-0.8,5.7,1.5
2026,Dyson Daniels,daniedy01,22.0,ATL,SG,34,34.0,1155.0,13.3,0.514,0.157,0.188,7.3,13.8,10.5,22.7,2.7,1.2,17.0,16.6,0.4,1.2,1.6,0.068,-1.9,0.8,-1.1,0.3
2026,Tristan Da Silva,dasiltr01,24.0,ORL,SF,30,10.0,696.0,11.2,0.548,0.508,0.131,3.7,14.8,9.3,7.3,1.5,0.9,9.2,17.1,0.2,0.8,1.0,0.068,-1.2,0.1,-1.1,0.1
2026,Egor Dёmin,demineg01,19.0,BRK,PG,28,21.0,677.0,10.5,0.538,0.694,0.098,2.1,13.2,7.4,21.7,1.8,1.1,17.2,19.6,-0.3,0.6,0.3,0.024,-1.7,-0.3,-1.9,0.0
2026,DeMar DeRozan,derozde01,36.0,SAC,PF,33,33.0,1095.0,17.4,0.601,0.166,0.379,1.8,9.9,5.7,17.2,2.0,0.7,6.6,21.0,2.2,0.4,2.6,0.114,0.4,-0.2,0.2,0.6
2026,Moussa Diabaté,diabamo01,24.0,CHO,C,32,6.0,744.0,18.0,0.646,0.0,0.573,18.2,21.3,19.8,7.9,1.7,3.4,11.7,12.5,1.9,0.8,2.7,0.172,-0.1,-0.3,-0.3,0.3
2026,Gradey Dick,dickgr01,22.0,TOR,SG,35,0.0,546.0,9.9,0.526,0.547,0.271,2.8,10.0,6.4,5.9,2.2,0.7,7.7,17.1,0.0,0.7,0.7,0.062,-3.5,0.2,-3.4,-0.2
2026,Donte DiVincenzo,divindo01,29.0,MIN,SG,34,34.0,1069.0,13.8,0.577,0.753,0.197,3.5,11.8,7.7,17.8,1.9,1.2,9.7,17.2,1.5,1.3,2.8,0.126,0.6,0.8,1.4,0.9
2026,Luka Dončić,doncilu01,26.0,LAL,PG,24,24.0,870.0,27.3,0.604,0.47,0.52,2.8,23.4,13.3,41.4,2.1,1.5,13.8,38.3,2.4,0.9,3.3,0.182,7.0,0.5,7.6,2.1
2026,Luguentz Dort,dortlu01,26.0,OKC,SF,25,25.0,683.0,7.8,0.517,0.762,0.09,3.7,10.0,7.0,5.1,1.4,2.2,8.0,13.4,0.0,1.2,1.2,0.088,-2.7,0.7,-2.0,0.0
2026,Ayo Dosunmu,dosunay01,26.0,CHI,SG,27,7.0,705.0,14.9,0.616,0.393,0.25,2.5,8.3,5.4,17.4,1.1,0.7,9.9,19.7,1.1,0.3,1.4,0.096,0.1,-1.3,-1.2,0.1
2026,Andre Drummond,drumman01,32.0,PHI,C,29,14.0,612.0,17.4,0.582,0.235,0.284,17.7,30.5,23.9,5.8,1.3,3.8,12.5,14.2,1.0,1.0,2.0,0.156,0.2,-0.4,-0.2,0.3
2026,Kris Dunn,dunnkr01,31.0,LAC,PG,32,26.0,858.0,12.0,0.613,0.47,0.158,3.6,9.0,6.4,15.6,2.9,0.7,15.9,13.3,0.8,0.7,1.5,0.084,-1.7,1.1,-0.6,0.3
2026,Ryan Dunn,dunnry01,23.0,PHO,SF,26,11.0,588.0,12.0,0.52,0.408,0.118,8.9,16.0,12.4,11.0,2.6,2.6,14.4,14.7,0.2,0.8,1.0,0.085,-2.4,1.2,-1.2,0.1
2026,Kevin Durant,duranke01,37.0,HOU,SF,28,28.0,1007.0,20.8,0.646,0.284,0.377,1.0,14.4,7.8,18.0,1.1,2.5,13.6,26.5,2.8,1.1,3.9,0.186,3.7,0.0,3.7,1.4
2026,Jalen Duren,durenja01,22.0,DET,C,30,30.0,862.0,23.6,0.672,0.0,0.517,16.4,25.1,20.8,9.3,1.6,3.2,14.6,22.4,2.4,1.5,3.9,0.218,2.5,0.1,2.6,1.0
2026,VJ Edgecombe,edgecvj01,20.0,PHI,SG,27,27.0,951.0,12.9,0.523,0.407,0.173,5.6,11.2,8.3,16.8,1.8,1.1,9.9,19.9,0.6,0.9,1.5,0.075,-1.0,-0.1,-1.1,0.2
2026,Anthony Edwards,edwaran01,24.0,MIN,SG,27,27.0,944.0,22.8,0.63,0.415,0.378,2.2,13.4,7.9,17.7,1.9,2.1,10.9,31.3,2.0,1.2,3.2,0.164,5.3,0.4,5.7,1.8
2026,Keon Ellis,elliske01,26.0,SAC,SG,31,4.0,537.0,8.9,0.514,0.698,0.148,2.2,6.4,4.2,5.2,3.4,2.5,8.6,13.7,-0.2,0.4,0.2,0.019,-3.7,1.4,-2.4,0.0
2026,Jeremiah Fears,fearsje01,19.0,NOP,PG,35,33.0,934.0,12.4,0.515,0.242,0.256,2.8,11.8,7.2,17.5,2.2,0.5,14.1,24.9,-0.7,0.4,-0.3,-0.015,-2.5,-1.7,-4.3,-0.5
2026,Kyle Filipowski,filipky01,22.0,UTA,C,31,11.0,697.0,13.8,0.568,0.371,0.341,8.1,22.6,15.2,13.9,1.1,2.2,12.3,17.7,0.7,0.3,1.0,0.069,-1.1,-0.8,-1.9,0.0
2026,Cooper Flagg,flaggco01,19.0,DAL,SF,33,33.0,1141.0,16.4,0.564,0.227,0.297,3.7,15.5,9.8,17.9,1.7,2.0,11.5,23.7,0.7,1.4,2.1,0.089,-0.2,0.6,0.4,0.7
2026,Simone Fontecchio,fontesi01,30.0,MIA,SF,31,1.0,559.0,11.3,0.548,0.705,0.238,2.8,13.5,8.2,12.0,1.1,0.8,10.4,20.4,0.1,0.6,0.8,0.065,-0.8,-0.2,-1.0,0.1
2026,De'Aaron Fox,foxde01,28.0,SAS,PG,24,24.0,776.0,19.4,0.59,0.373,0.299,2.7,9.5,6.1,28.6,2.0,0.8,12.3,27.3,1.4,0.9,2.3,0.144,2.8,0.0,2.9,1.0
2026,Darius Garland,garlada01,26.0,CLE,PG,19,19.0,573.0,14.1,0.545,0.455,0.239,2.0,7.6,4.8,32.8,1.2,0.3,15.9,25.3,0.4,0.4,0.7,0.061,0.2,-2.5,-2.4,-0.1
2026,Keyonte George,georgke01,22.0,UTA,PG,32,32.0,1100.0,18.7,0.613,0.421,0.438,1.5,12.3,6.8,31.2,1.3,0.9,14.4,28.0,2.1,0.1,2.3,0.099,3.1,-1.9,1.2,0.9
